
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                    1212 Console                   10     81,752 K
chrome.exe                   12772 Console                   10    104,740 K
chrome.exe                   13628 Console                   10     72,032 K
chrome.exe                   14368 Console                   10     71,784 K
chrome.exe                   15080 Console                   10    104,452 K
chrome.exe                    8300 Console                   10     96,804 K
chrome.exe                     280 Console                   10     70,848 K
svchost.exe                   4164 Services                   0     31,900 K
Telegram.exe                 17268 Console                   10    113,512 K
chrome.exe                    9124 Console                   10    119,772 K
chrome.exe                   12672 Console                   10     98,452 K
chrome.exe                   14660 Console                   10     95,384 K
svchost.exe                  15188 Services                   0     12,960 K
audiodg.exe                  13592 Services                   0     18,668 K
svchost.exe                   7280 Services                   0      5,980 K
wlanext.exe                  11536 Services                   0      8,180 K
conhost.exe                  21148 Services                   0     10,960 K
CtesHostSvc.exe               6916 Services                   0      8,152 K
taskhostw.exe                18876 Console                   10      7,860 K
Microsoft.Notes.exe           8272 Console                   10     87,776 K
RuntimeBroker.exe            21000 Console                   10     23,448 K
Taskmgr.exe                  12012 Console                   10     66,292 K
chrome.exe                    8764 Console                   10     18,540 K
chrome.exe                   13448 Console                   10     86,064 K
chrome.exe                    9440 Console                   10    116,252 K
chrome.exe                   14288 Console                   10    102,136 K
smartscreen.exe               6528 Console                   10     24,576 K
notepad++.exe                10768 Console                   10     44,740 K
pycharm64.exe                19908 Console                   10  2,234,832 K
fsnotifier.exe                9844 Console                   10      2,676 K
conhost.exe                  14636 Console                   10     11,228 K
jcef_helper.exe              15856 Console                   10     36,928 K
jcef_helper.exe              11552 Console                   10     22,780 K
chrome.exe                    1980 Console                   10    108,356 K
chrome.exe                   20844 Console                   10    136,100 K
chrome.exe                    2136 Console                   10     59,384 K
WmiPrvSE.exe                 13480 Services                   0     13,684 K
svchost.exe                  20252 Services                   0      7,516 K
chrome.exe                   16720 Console                   10     30,348 K
python.exe                   17740 Console                   10      3,520 K
conhost.exe                  12308 Console                   10      7,028 K
python.exe                   21312 Console                   10     47,760 K
cmd.exe                       4848 Console                   10      4,248 K
tasklist.exe                 11900 Console                   10      9,284 K
